incident_id,title,description,resolution,severity
INC0001,Authentication failure,Users unable to login to production banking application after patch update,Restart authentication services and validate SSO connectivity,P1
INC0002,Database timeout,Production database connection timeout observed during peak traffic,Restart DB services and verify database connectivity,P1
INC0003,Application unavailable,Users unable to access production application after deployment,Restart IIS and clear deployment cache,P1
INC0004,Kubernetes pod crash,Pods entering CrashLoopBackOff after deployment,Increase pod memory and restart deployment,P1
INC0005,VPN issue,Users unable to connect to VPN network,Restart VPN gateway services,P2
INC0006,SSL certificate expired,HTTPS services inaccessible due to expired SSL certificate,Renew SSL certificate and restart web services,P1
INC0007,Application slowness,Application response time increased drastically during business hours,Optimize DB queries and restart services,P2
INC0008,Disk space full,Server disk utilization crossed threshold,Clean old logs and expand storage volume,P2
INC0009,Jenkins pipeline failure,CI pipeline failed during production deployment,Fix pipeline script and rerun build,P2
INC0010,Memory leak issue,Application consuming excessive memory on production server,Restart services and patch memory leak,P1
INC0011,Windows service stopped,Critical Windows service stopped unexpectedly,Restart impacted Windows services,P2
INC0012,Citrix connection issue,Users unable to connect through Citrix environment,Restart Citrix services and validate connectivity,P1
INC0013,RDP connectivity failure,RDP connection to production server unavailable,Restart RDP services and verify firewall rules,P1
INC0014,Load balancer issue,Load balancer not routing traffic properly,Restart load balancer and validate routing,P2
INC0015,Service outage,Production services unavailable for all users,Restart impacted services and validate health,P1
INC0016,API gateway failure,API gateway returning 502 bad gateway errors,Restart API gateway and validate endpoints,P1
INC0017,Deployment rollback,Application deployment failed in production,Rollback deployment and validate application health,P1
INC0018,Network latency issue,High latency observed between application and DB servers,Validate network routes and restart interfaces,P2
INC0019,Oracle listener issue,Oracle listener not responding in production,Restart Oracle listener and validate DB services,P1
INC0020,Pod autoscaling failure,Kubernetes autoscaling not triggering correctly,Restart autoscaler and validate metrics server,P2
INC0021,Authentication service outage,SSO authentication failing for all users,Restart authentication services and validate tokens,P1
INC0022,Server reboot required,Application server became unresponsive,Reboot affected server and validate services,P1
INC0023,Storage threshold exceeded,Storage utilization exceeded critical threshold,Expand storage volume and clear unused files,P2
INC0024,Firewall issue,Application traffic blocked by firewall,Update firewall rules and validate traffic,P2
INC0025,Service account expired,Application service account credentials expired,Renew credentials and restart services,P1
INC0026,Application crash,Application terminated unexpectedly after release,Restart application and verify deployment health,P1
INC0027,DNS resolution failure,Application unable to resolve hostnames,Restart DNS services and flush DNS cache,P2
INC0028,Queue processing issue,Message queue backlog increasing rapidly,Restart queue services and clear stuck messages,P2
INC0029,High CPU utilization,Production server CPU usage above 95 percent,Kill high CPU processes and restart services,P2
INC0030,Redis cache issue,Redis cache unavailable for application requests,Restart Redis services and validate cache,P2
INC0031,Proxy server failure,Reverse proxy not forwarding requests,Restart Nginx proxy and validate routes,P1
INC0032,Login issue,Users unable to login after deployment,Restart SSO services and validate AD connection,P1
INC0033,Azure VM unavailable,Azure VM inaccessible from monitoring systems,Restart VM and validate connectivity,P1
INC0034,Log service failure,Log aggregation service stopped unexpectedly,Restart logging services and validate ingestion,P2
INC0035,Patch update failure,Security patch installation failed on server,Rerun patch update and validate services,P2
INC0036,Certificate mismatch,SSL certificate hostname mismatch detected,Install correct SSL certificate and restart services,P1
INC0037,Container image pull failure,Kubernetes unable to pull container image,Validate image registry and restart deployment,P2
INC0038,Database deadlock,Application transactions stuck in DB deadlock,Kill blocking sessions and restart DB services,P1
INC0039,SMTP failure,Application unable to send emails,Restart SMTP services and validate mail queue,P2
INC0040,Session timeout issue,User sessions expiring unexpectedly,Update session timeout configuration,P3
INC0041,Cloud storage issue,Application unable to access cloud storage,Validate storage credentials and restart services,P2
INC0042,Monitoring alert,Application health alerts triggered continuously,Validate monitoring agents and restart services,P3
INC0043,Configuration mismatch,Incorrect application config deployed in production,Update configuration and restart services,P2
INC0044,Kafka broker failure,Kafka broker unavailable for message processing,Restart Kafka brokers and validate topics,P1
INC0045,Production outage,Production services inaccessible for business users,Restart impacted services and validate dependencies,P1
INC0046,Deployment validation issue,Deployment validation checks failed,Validate deployment artifacts and rerun deployment,P2
INC0047,Inactive services,Background services not running after reboot,Start impacted services and validate health,P2
INC0048,Web server issue,Web server returning 503 service unavailable,Restart IIS and validate application pools,P1
INC0049,Application dependency failure,Dependent services unavailable for application,Restart dependent services and validate APIs,P1
INC0050,Backup failure,Production backup job failed overnight,Rerun backup job and validate storage,P3
INC0051,Authentication token expired,User authentication tokens expired unexpectedly,Clear token cache and restart authentication service,P1
INC0052,OCI connectivity issue,Application unable to connect to OCI resources,Validate OCI network and restart impacted services,P2
INC0053,Queue consumer stopped,Message queue consumers stopped processing,Start queue consumers and validate throughput,P2
INC0054,Windows patch issue,Windows patch caused application instability,Rollback patch and restart services,P1
INC0055,Health check failure,Load balancer health checks failing,Restart web services and validate endpoints,P2
